longname
"Kahkewistahaw 72 Indian Reserve, Division No. 5, Saskatchewan, Canada"
"Lax Kw'alaams 1 Indian Reserve, Skeena-Queen Charlotte Regional district, British Columbia, Canada"
"Little Saskatchewan 48 Indian Reserve, Division No. 18, Manitoba, Canada"
"Mulgrave Town, Guysborough County, Nova Scotia, Canada"
"Allan Town, Division No. 11, Saskatchewan, Canada"
"Qu'Appelle Town, Division No. 6, Saskatchewan, Canada"
"Rivière-à-Pierre Municipalité, Portneuf CRM, Quebec, Canada"
"Sainte-Anne-de-la-Rochelle Municipalité, Le Val-Saint-François CRM, Quebec, Canada"
"Asquith Town, Division No. 12, Saskatchewan, Canada"
"Conception Harbour Town, Division No. 1, Newfoundland and Labrador, Canada"
"Sweet Grass 113 Indian Reserve, Division No. 12, Saskatchewan, Canada"
"Little Pine 116 Indian Reserve, Division No. 13, Saskatchewan, Canada"
"Fort Mckay 174 Indian Reserve, Division No. 16, Alberta, Canada"
"Appleton Town, Division No. 6, Newfoundland and Labrador, Canada"
"Les Bergeronnes Municipalité, La Haute-Côte-Nord CRM, Quebec, Canada"
"Fort Providence Hamlet, Region 4 Region, Northwest Territories, Canada"
"Lawrenceville Village, Le Val-Saint-François CRM, Quebec, Canada"
"Lot 11 and Area Rural Municipality, Prince County, Prince Edward Island, Canada"
"Sainte-Christine-d'Auvergne Municipalité, Portneuf CRM, Quebec, Canada"
"Balcarres Town, Division No. 6, Saskatchewan, Canada"
"Cariboo J Regional District Electoral Area, Cariboo Regional district, British Columbia, Canada"
"Cote No. 271 Rural Municipality, Division No. 9, Saskatchewan, Canada"
"Saint-Bernard-de-Michaudville Municipalité, Les Maskoutains CRM, Quebec, Canada"
"Saint-Léolin Village, Gloucester County, New Brunswick, Canada"
"Clyde River Rural Municipality, Queens County, Prince Edward Island, Canada"
"Wawken No. 93 Rural Municipality, Division No. 1, Saskatchewan, Canada"
"Baie-des-Sables Municipalité, La Matanie CRM, Quebec, Canada"
"Colliers Town, Division No. 1, Newfoundland and Labrador, Canada"
"Gordon/Barrie Island Municipality, Manitoulin District, Ontario, Canada"
"Shoal Lake 28A Indian Reserve, Division No. 14, Saskatchewan, Canada"
"Coronach Town, Division No. 3, Saskatchewan, Canada"
"East Farnham Municipalité, Brome-Missisquoi CRM, Quebec, Canada"
"Portneuf-sur-Mer Municipalité, La Haute-Côte-Nord CRM, Quebec, Canada"
"Tracy Village, Sunbury County, New Brunswick, Canada"
"Whitefish Bay 32A Indian Reserve, Kenora District, Ontario, Canada"
"New Credit (Part) 40A Indian Reserve, Brant CDR, Ontario, Canada"
"Old Perlican Town, Division No. 1, Newfoundland and Labrador, Canada"
"Sachigo Lake 1 Indian Reserve, Kenora District, Ontario, Canada"
"Cloridorme Canton, La Côte-de-Gaspé CRM, Quebec, Canada"
"Eastend Town, Division No. 4, Saskatchewan, Canada"
"Kamouraska Municipalité, Kamouraska CRM, Quebec, Canada"
"Acme Village, Division No. 5, Alberta, Canada"
"Grand Coulee Town, Division No. 6, Saskatchewan, Canada"
"Pierceland Village, Division No. 17, Saskatchewan, Canada"
"Bruno Town, Division No. 15, Saskatchewan, Canada"
"Fertile Valley No. 285 Rural Municipality, Division No. 12, Saskatchewan, Canada"
"Kinistino No. 459 Rural Municipality, Division No. 15, Saskatchewan, Canada"
"Caron No. 162 Rural Municipality, Division No. 7, Saskatchewan, Canada"
"Pense Town, Division No. 6, Saskatchewan, Canada"
"St. Lunaire-Griquet Town, Division No. 9, Newfoundland and Labrador, Canada"
"New Hazelton District Municipality, Kitimat-Stikine Regional district, British Columbia, Canada"
"Norris Point Town, Division No. 9, Newfoundland and Labrador, Canada"
"Petit-Saguenay Municipalité, Le Saguenay-et-son-Fjord CDR, Quebec, Canada"
"Keeseekoose 66 Indian Reserve, Division No. 9, Saskatchewan, Canada"
"Pleasantdale No. 398 Rural Municipality, Division No. 14, Saskatchewan, Canada"
"Cupar Town, Division No. 6, Saskatchewan, Canada"
"Montana 139 Indian Reserve, Division No. 8, Alberta, Canada"
"Hopewell Parish, Albert County, New Brunswick, Canada"
"Division No. 6, Subd. D, Division No. 6, Newfoundland and Labrador, Canada"
"Hopedale Town, Division No. 11, Newfoundland and Labrador, Canada"
"Tsahaheh 1 Indian Reserve, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Sainte-Sophie-d'Halifax Municipalité, L'Érable CRM, Quebec, Canada"
"Métis-sur-Mer Ville, La Mitis CRM, Quebec, Canada"
"Saint-Célestin Municipalité, Nicolet-Yamaska CRM, Quebec, Canada"
"Makaoo (Part) 120 Indian Reserve, Division No. 17, Saskatchewan, Canada"
"Qikiqtarjuaq Hamlet, Qikiqtaaluk Region, Nunavut, Canada"
"Division No. 4, Subd. C, Division No. 4, Newfoundland and Labrador, Canada"
"St. Walburg Town, Division No. 17, Saskatchewan, Canada"
"Buchans Town, Division No. 6, Newfoundland and Labrador, Canada"
"Saint-Joseph-de-Lepage Paroisse, La Mitis CRM, Quebec, Canada"
"Carmacks Village, Yukon Territory, Yukon, Canada"
"McBride Village, Fraser-Fort George Regional district, British Columbia, Canada"
"Sainte-Thérèse-de-la-Gatineau Municipalité, La Vallée-de-la-Gatineau CRM, Quebec, Canada"
"Saint-Eusèbe Paroisse, Témiscouata CRM, Quebec, Canada"
"Wunnumin 1 Indian Reserve, Kenora District, Ontario, Canada"
"Brackley Rural Municipality, Queens County, Prince Edward Island, Canada"
"Standing Buffalo 78 Indian Reserve, Division No. 6, Saskatchewan, Canada"
"Avondale Town, Division No. 1, Newfoundland and Labrador, Canada"
"Churchbridge No. 211 Rural Municipality, Division No. 5, Saskatchewan, Canada"
"English River 21 Indian Reserve, Kenora District, Ontario, Canada"
"Hope Canton, Bonaventure CRM, Quebec, Canada"
"Baildon No. 131 Rural Municipality, Division No. 7, Saskatchewan, Canada"
"Lawn Town, Division No. 2, Newfoundland and Labrador, Canada"
"Bruce Mines Town, Algoma District, Ontario, Canada"
"Côte-Nord-du-Golfe-du-Saint-Laurent Municipalité, Minganie--Le Golfe-du-Saint-Laurent CDR, Quebec, Canada"
"Pointe-Fortune Village, Vaudreuil-Soulanges CRM, Quebec, Canada"
"Mont-Saint-Michel Municipalité, Antoine-Labelle CRM, Quebec, Canada"
"Neyaashiinigmiing 27 Indian Reserve, Bruce County, Ontario, Canada"
"North Coast D Regional District Electoral Area, Skeena-Queen Charlotte Regional district, British Columbia, Canada"
"Baldwin Township, Sudbury District, Ontario, Canada"
"Dover Town, Division No. 7, Newfoundland and Labrador, Canada"
"Duck Lake Town, Division No. 15, Saskatchewan, Canada"
"Lynn Lake Town, Division No. 23, Manitoba, Canada"
"McGarry Township, Timiskaming District, Ontario, Canada"
"North River Town, Division No. 1, Newfoundland and Labrador, Canada"
"Arundel Canton, Les Laurentides CRM, Quebec, Canada"
"Kispiox 1 Indian Reserve, Kitimat-Stikine Regional district, British Columbia, Canada"
"Packington Paroisse, Témiscouata CRM, Quebec, Canada"
"South Indian Lake Indian Settlement, Division No. 23, Manitoba, Canada"
"Berwyn Village, Division No. 19, Alberta, Canada"
"Northfield Parish, Sunbury County, New Brunswick, Canada"
"Ponteix Town, Division No. 3, Saskatchewan, Canada"
"Dubreuilville Township, Algoma District, Ontario, Canada"
"Tourville Municipalité, L'Islet CRM, Quebec, Canada"
"East River, Part 2 Fire District, Kings County, Prince Edward Island, Canada"
"Escuminac Municipalité, Avignon CRM, Quebec, Canada"
"McIvers Town, Division No. 5, Newfoundland and Labrador, Canada"
"Morin Lake 217 Indian Reserve, Division No. 18, Saskatchewan, Canada"
"Point Leamington Town, Division No. 8, Newfoundland and Labrador, Canada"
"Déline Chartered Community, Region 2 Region, Northwest Territories, Canada"
"Saint-Simon-les-Mines Municipalité, Beauce-Sartigan CRM, Quebec, Canada"
"Tarbutt and Tarbutt Additional Township, Algoma District, Ontario, Canada"
"Wapachewunak 192D Indian Reserve, Division No. 18, Saskatchewan, Canada"
"Mission 1 Indian Reserve, Greater Vancouver Regional district, British Columbia, Canada"
"Duhamel Municipalité, Papineau CRM, Quebec, Canada"
"Sainte-Clotilde-de-Beauce Municipalité, Les Appalaches CRM, Quebec, Canada"
"Clinton Village, Thompson-Nicola Regional district, British Columbia, Canada"
"Cymri No. 36 Rural Municipality, Division No. 2, Saskatchewan, Canada"
"Breton Village, Division No. 11, Alberta, Canada"
"Webb No. 138 Rural Municipality, Division No. 8, Saskatchewan, Canada"
"Matapédia Municipalité, Avignon CRM, Quebec, Canada"
"Dufferin Parish, Charlotte County, New Brunswick, Canada"
"Puskiakiwenin 122 Indian Reserve, Division No. 12, Alberta, Canada"
"Roseau River 2 Indian Reserve, Division No. 2, Manitoba, Canada"
"Division No. 8, Subd. C, Division No. 8, Newfoundland and Labrador, Canada"
"Invergordon No. 430 Rural Municipality, Division No. 15, Saskatchewan, Canada"
"Lac Pelletier No. 107 Rural Municipality, Division No. 4, Saskatchewan, Canada"
"Saint-Damase-de-L'Islet Municipalité, L'Islet CRM, Quebec, Canada"
"Division No. 3, Subd. H, Division No. 3, Newfoundland and Labrador, Canada"
"Kangirsuk Village Nordique, Nord-du-Québec CDR, Quebec, Canada"
"Langenburg No. 181 Rural Municipality, Division No. 5, Saskatchewan, Canada"
"Musgravetown Town, Division No. 7, Newfoundland and Labrador, Canada"
"Bethune Village, Division No. 6, Saskatchewan, Canada"
"Gitanmaax 1 Indian Reserve, Kitimat-Stikine Regional district, British Columbia, Canada"
"North West River Town, Division No. 10, Newfoundland and Labrador, Canada"
"Saint-Pierre-Baptiste Paroisse, L'Érable CRM, Quebec, Canada"
"Isle aux Morts Town, Division No. 3, Newfoundland and Labrador, Canada"
"Luseland Town, Division No. 13, Saskatchewan, Canada"
"Wabasca 166A Indian Reserve, Division No. 17, Alberta, Canada"
"Calvin Municipality, Nipissing District, Ontario, Canada"
"White River Township, Algoma District, Ontario, Canada"
"La Bostonnais Municipalité, La Tuque Territory, Quebec, Canada"
"Sainte-Anne-du-Lac Municipalité, Antoine-Labelle CRM, Quebec, Canada"
"Wawota Town, Division No. 1, Saskatchewan, Canada"
"Canterbury Parish, York County, New Brunswick, Canada"
"Eye Hill No. 382 Rural Municipality, Division No. 13, Saskatchewan, Canada"
"Mingan Indian Reserve, Minganie--Le Golfe-du-Saint-Laurent CDR, Quebec, Canada"
"Saint-Camille Canton, Les Sources CRM, Quebec, Canada"
"Reidville Town, Division No. 5, Newfoundland and Labrador, Canada"
"Rycroft Village, Division No. 19, Alberta, Canada"
"Saint Andrews Parish, Charlotte County, New Brunswick, Canada"
"Kensington, Part 2 Fire District, Queens County, Prince Edward Island, Canada"
"Ministikwan 161 Indian Reserve, Division No. 17, Saskatchewan, Canada"
"Crapaud, Part 2 Fire District, Prince County, Prince Edward Island, Canada"
"Hardisty Town, Division No. 7, Alberta, Canada"
"Keys No. 303 Rural Municipality, Division No. 9, Saskatchewan, Canada"
"Lac-des-Plages Municipalité, Papineau CRM, Quebec, Canada"
"Woyenne 27 Indian Reserve, Bulkley-Nechako Regional district, British Columbia, Canada"
"Cut Knife Town, Division No. 13, Saskatchewan, Canada"
"Grayson No. 184 Rural Municipality, Division No. 5, Saskatchewan, Canada"
"Massueville Village, Pierre-De Saurel CRM, Quebec, Canada"
"Saint-Jules Paroisse, Robert-Cliche CRM, Quebec, Canada"
"Barnston-Ouest Municipalité, Coaticook CRM, Quebec, Canada"
"Denholm Municipalité, La Vallée-de-la-Gatineau CRM, Quebec, Canada"
"Division No. 7, Subd. J, Division No. 7, Newfoundland and Labrador, Canada"
"Lewin's Cove Town, Division No. 2, Newfoundland and Labrador, Canada"
"Sainte-Edwidge-de-Clifton Canton, Coaticook CRM, Quebec, Canada"
"St. Jacques-Coomb's Cove Town, Division No. 3, Newfoundland and Labrador, Canada"
"Eel Ground 2 Indian Reserve, Northumberland County, New Brunswick, Canada"
"Rocanville No. 151 Rural Municipality, Division No. 5, Saskatchewan, Canada"
"Stavely Town, Division No. 3, Alberta, Canada"
"Marwayne Village, Division No. 10, Alberta, Canada"
"Saint-Juste-du-Lac Municipalité, Témiscouata CRM, Quebec, Canada"
"Whatì Community Government, Region 3 Region, Northwest Territories, Canada"
"Alderville First Nation Indian Reserve, Northumberland County, Ontario, Canada"
"Garnish Town, Division No. 2, Newfoundland and Labrador, Canada"
"Mattice-Val Côté Township, Cochrane District, Ontario, Canada"
"Rosedale No. 283 Rural Municipality, Division No. 11, Saskatchewan, Canada"
"Saint-Moïse Paroisse, La Matapédia CRM, Quebec, Canada"
"Broadview Town, Division No. 5, Saskatchewan, Canada"
"Division No. 1, Subd. X, Division No. 1, Newfoundland and Labrador, Canada"
"Lac-Sergent Ville, Portneuf CRM, Quebec, Canada"
"Moosomin No. 121 Rural Municipality, Division No. 5, Saskatchewan, Canada"
"Timiskaming Indian Reserve, Témiscamingue CRM, Quebec, Canada"
"Umiujaq Village Nordique, Nord-du-Québec CDR, Quebec, Canada"
"Burnt Islands Town, Division No. 3, Newfoundland and Labrador, Canada"
"Cumberland House Northern Village, Division No. 18, Saskatchewan, Canada"
"Hanley Town, Division No. 11, Saskatchewan, Canada"
"Pikogan Indian Reserve, Abitibi CRM, Quebec, Canada"
"Division No. 1, Subd. F, Division No. 1, Newfoundland and Labrador, Canada"
"Katepwa Resort Village, Division No. 6, Saskatchewan, Canada"
"Division No. 2, Subd. C, Division No. 2, Newfoundland and Labrador, Canada"
"Mountain (North) Rural Municipality, Division No. 20, Manitoba, Canada"
"Aklavik Hamlet, Region 1 Region, Northwest Territories, Canada"
"Sacré-Coeur-de-Jésus Paroisse, Les Appalaches CRM, Quebec, Canada"
"Berry Municipalité, Abitibi CRM, Quebec, Canada"
"Lumsden Town, Division No. 8, Newfoundland and Labrador, Canada"
"Maisonnette Village, Gloucester County, New Brunswick, Canada"
"Stornoway Municipalité, Le Granit CRM, Quebec, Canada"
"Division No. 9, Subd. D, Division No. 9, Newfoundland and Labrador, Canada"
"Fraser-Fort George E Regional District Electoral Area, Fraser-Fort George Regional district, British Columbia, Canada"
"Foam Lake No. 276 Rural Municipality, Division No. 10, Saskatchewan, Canada"
"Alberni-Clayoquot B Regional District Electoral Area, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Kitsakie 156B Indian Reserve, Division No. 18, Saskatchewan, Canada"
"Mount Hope No. 279 Rural Municipality, Division No. 10, Saskatchewan, Canada"
"Annapolis Royal Town, Annapolis County, Nova Scotia, Canada"
"Harris Township, Timiskaming District, Ontario, Canada"
"Hole or Hollow Water 10 Indian Reserve, Division No. 19, Manitoba, Canada"
"Hudson Township, Timiskaming District, Ontario, Canada"
"Saint-Robert-Bellarmin Municipalité, Le Granit CRM, Quebec, Canada"
"Hillsdale No. 440 Rural Municipality, Division No. 13, Saskatchewan, Canada"
"Nak'azdli Indian Reserve, Bulkley-Nechako Regional district, British Columbia, Canada"
"Thorne Municipalité, Pontiac CRM, Quebec, Canada"
"Chatham Parish, Northumberland County, New Brunswick, Canada"
"Eastport Town, Division No. 7, Newfoundland and Labrador, Canada"
"Lac-Saguay Village, Antoine-Labelle CRM, Quebec, Canada"
"Grant No. 372 Rural Municipality, Division No. 15, Saskatchewan, Canada"
"Lac-Saint-Paul Municipalité, Antoine-Labelle CRM, Quebec, Canada"
"Harley Township, Timiskaming District, Ontario, Canada"
"Osnaburgh 63B Indian Reserve, Kenora District, Ontario, Canada"
"Ibex Valley Hamlet, Yukon Territory, Yukon, Canada"
"Marshall Town, Division No. 17, Saskatchewan, Canada"
"Saint-Adrien Municipalité, Les Sources CRM, Quebec, Canada"
"Saint-Onésime-d'Ixworth Municipalité, Kamouraska CRM, Quebec, Canada"
"Big Quill No. 308 Rural Municipality, Division No. 10, Saskatchewan, Canada"
"Saint-Alexis-de-Matapédia Municipalité, Avignon CRM, Quebec, Canada"
"Saint-Alfred Municipalité, Robert-Cliche CRM, Quebec, Canada"
"Saint-Luc-de-Vincennes Municipalité, Francheville CDR, Quebec, Canada"
"Sainte-Monique Municipalité, Nicolet-Yamaska CRM, Quebec, Canada"
"Kingsclear 6 Indian Reserve, York County, New Brunswick, Canada"
"Saint-Denis-De La Bouteillerie Municipalité, Kamouraska CRM, Quebec, Canada"
"Coleman Township, Timiskaming District, Ontario, Canada"
"Stewart District Municipality, Kitimat-Stikine Regional district, British Columbia, Canada"
"Cupar No. 218 Rural Municipality, Division No. 6, Saskatchewan, Canada"
"Saint-Bruno-de-Kamouraska Municipalité, Kamouraska CRM, Quebec, Canada"
"Saint-Malo Municipalité, Coaticook CRM, Quebec, Canada"
"Simonds Parish, Carleton County, New Brunswick, Canada"
"Nicola Mameet 1 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Penelakut Island 7 Indian Reserve, Cowichan Valley Regional district, British Columbia, Canada"
"Port Blandford Town, Division No. 7, Newfoundland and Labrador, Canada"
"Saint-Émile-de-Suffolk Municipalité, Papineau CRM, Quebec, Canada"
"Trois-Rives Municipalité, Mékinac CRM, Quebec, Canada"
"Whiska Creek No. 106 Rural Municipality, Division No. 3, Saskatchewan, Canada"
"Birchy Bay Town, Division No. 8, Newfoundland and Labrador, Canada"
"Hazel Dell No. 335 Rural Municipality, Division No. 9, Saskatchewan, Canada"
"Kingfisher Lake 1 Indian Reserve, Kenora District, Ontario, Canada"
"Saint-Évariste-de-Forsyth Municipalité, Beauce-Sartigan CRM, Quebec, Canada"
"Usborne No. 310 Rural Municipality, Division No. 11, Saskatchewan, Canada"
"Whitecap Indian Reserve, Division No. 11, Saskatchewan, Canada"
"Wolverine No. 340 Rural Municipality, Division No. 11, Saskatchewan, Canada"
"Leroy Town, Division No. 10, Saskatchewan, Canada"
"Midale Town, Division No. 2, Saskatchewan, Canada"
"Peepeekisis 81 Indian Reserve, Division No. 6, Saskatchewan, Canada"
"Blaine Lake Town, Division No. 16, Saskatchewan, Canada"
"Calixa-Lavallée Municipalité, Marguerite-D'Youville CRM, Quebec, Canada"
"Centreville Village, Carleton County, New Brunswick, Canada"
"Egan-Sud Municipalité, La Vallée-de-la-Gatineau CRM, Quebec, Canada"
"Lark Harbour Town, Division No. 5, Newfoundland and Labrador, Canada"
"Stanley No. 215 Rural Municipality, Division No. 5, Saskatchewan, Canada"
