longname,"Agriculture, forestry, fishing and hunting %","Agriculture, forestry, fishing and hunting % [StatCan]","Mining, quarrying, and oil and gas extraction %","Mining, quarrying, and oil and gas extraction % [StatCan]",Accommodation and food services %,Accommodation and food services % [StatCan],"Arts, entertainment, and recreation %","Arts, entertainment, and recreation % [StatCan]",Construction %,Construction % [StatCan],Educational services %,Educational services % [StatCan],Health care and social assistance %,Health care and social assistance % [StatCan],Finance and insurance %,Finance and insurance % [StatCan],Real estate and rental and leasing %,Real estate and rental and leasing % [StatCan],Information %,Information % [StatCan],Manufacturing %,Manufacturing % [StatCan],"Other services, except public administration %","Other services, except public administration % [StatCan]",Administrative and support and waste management services %,Administrative and support and waste management services % [StatCan],Management of companies and enterprises %,Management of companies and enterprises % [StatCan],"Professional, scientific, and technical services %","Professional, scientific, and technical services % [StatCan]",Public administration %,Public administration % [StatCan],Retail trade %,Retail trade % [StatCan],Transportation and warehousing %,Transportation and warehousing % [StatCan],Utilities %,Utilities % [StatCan],Wholesale trade %,Wholesale trade % [StatCan]
"Cauca, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Hampshire, USA",0.007143615004523032,,0.0005349119060237073,,0.06550132748011739,,0.01836463187465363,,0.06941364325519753,,0.1003431016693128,,0.14730138334949716,,0.047898217790034024,,0.015477210084796115,,0.019926401522717446,,0.12650576191409071,,0.041927053014145496,,0.036786087563853334,,0.0011862856447513103,,0.07719982324577195,,0.03990389490521336,,0.12156202786464664,,0.030291506588350482,,0.007843963240364179,,0.024889152081939835,
"Poltavska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kisii, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakhon Si Thammarat, Thailand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Western, Sierra Leone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uturumæ̆da paḷāta, Sri Lanka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Entre Ríos, Argentina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maine, USA",0.023651302344443747,,0.0004799732059927002,,0.062109678457493024,,0.017146073857594164,,0.07583853691415654,,0.10683500416218779,,0.17053714993134517,,0.05192489005741394,,0.014337937324182757,,0.016781363935808716,,0.08847899343917356,,0.044329424465163775,,0.03264256802159965,,0.0007737178251329466,,0.061547049339615335,,0.044464880023016955,,0.12651661452073,,0.034873490275995934,,0.007636507756220865,,0.01909484414273247,
"Huehuetenango, Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ehime, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cagayan, Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aragón, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tlaxcala, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Almaty, Kazakhstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kilifi, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penzenskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cotabato, Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Msila, Algeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nuwākshūţ, Mauritania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manitoba, Canada",,0.040540966800726025,,0.0054333254475199145,,0.05643088084535981,,0.014233893226086283,,0.08120810661619716,,0.08940935257471762,,0.15743237914990912,,0.03803327813263928,,0.009344688904660486,,0.011324028073495742,,0.08787950477091783,,0.041771153694503606,,0.03905843387745444,,0.0003627474173961043,,0.04830060720763383,,0.06985253528901463,,0.11327970980206485,,0.06314170806718737,,0.006624083274189749,,0.02633861682832599
"Boké, Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Palawan, Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Van, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comoé, Ivory Coast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tây Ninh, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Praha, Hlavní město, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cusco, Peru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Midtjylland, Denmark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nagasaki, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Misiones, Argentina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atsimo-Atsinanana, Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Qaşīm, Saudi Arabia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blida, Algeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tolima, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khabarovskiy kray, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mai-Ndombe, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boumerdès, Algeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ūva paḷāta, Sri Lanka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Northern Cape, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chlef, Algeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jonglei, South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mzimba, Malawi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bīnshangul Gumuz, Ethiopia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minskaja voblasć, Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quảng Ngãi, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helmand, Afghanistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lambayeque, Peru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North East, Singapore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montevideo, Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gorontalo, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mizoram, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vladimirskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jizzax, Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utrecht, Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bến Tre, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norte de Santander, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shymkent, Kazakhstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tshuapa, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blantyre, Malawi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chiang Rai, Thailand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ḩamāh, Syria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kordestān, Iran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daşoguz, Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aswān, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adamaoua, Cameroon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atlantique, Benin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ville de Kigali, Rwanda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Munster, Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jalal-Abad, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magdalena, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uasin Gishu, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nara, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cà Mau, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bình Phước, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maysān, Iraq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Şan‘ā’, Yemen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hưng Yên, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abruzzo, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North West, Singapore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aomori, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Savanes, Togo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Machakos, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karnali, Nepal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cabinda, Angola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zakarpatska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steiermark, Austria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ul'yanovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iwate, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viciebskaja voblasć, Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tverskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dayr az Zawr, Syria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baghlān, Afghanistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khmelnytska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quiché, Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lebap, Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Świętokrzyskie, Poland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lanao del Norte, Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yaroslavskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Syddanmark, Denmark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bà Rịa - Vũng Tàu, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bruxelles-Capitale: Région de, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HaDarom, Israel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An Nīl al Azraq, Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central, Paraguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alibori, Benin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bình Thuận, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wādī Fīrā’, Chad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nord-Ubangi, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Friuli Venezia Giulia, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South West, Singapore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hà Tĩnh, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nord, Haiti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kahramanmaraş, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khánh Hòa, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Papua Barat, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viken, Norway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central Equatoria, South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labé, Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"El Callao, Peru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Marcos, Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Analanjirofo, Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhytomyrska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Táchira, Venezuela",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mangochi, Malawi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pest, Hungary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illes Balears, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bryanskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kisumu, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boeny, Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cherkaska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faranah, Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buri Ram, Thailand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quảng Ninh, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Podlaskie, Poland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zamboanga del Sur, Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chaco, Argentina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Overijssel, Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zamboanga del Norte, Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waddāy, Chad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chuvashskaya Respublika, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laḩij, Yemen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tlemcen, Algeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bishkek Shaary, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haute-Matsiatra, Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jihomoravský kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vĩnh Long, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kirovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ouémé, Benin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kunduz, Afghanistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boyacá, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maputo (Province), Mozambique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bas-Uélé, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kitui, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valdesia, Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Isikawa, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Narok, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangui, Central African Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rivnenska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Osh, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ôita, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samut Sakhon, Thailand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aydin, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iringa, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huila, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moravskoslezský kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shabeellaha Dhexe, Somalia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pool, Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lūghūn ash Sharqī, Chad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alaotra Mangoro, Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tekirdağ, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maule, Chile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siem Reab [Siĕmréab], Cambodia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lipetskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Western, Zambia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thái Nguyên, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cesar, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Homa Bay, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mykolaivska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Masbate, Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saskatchewan, Canada",,0.08903103521267286,,0.03051952350805893,,0.058738941158475964,,0.014527449906769994,,0.08174802048359321,,0.08564701636956011,,0.15215535195763663,,0.0325623907118332,,0.008703124517638433,,0.010724003376060616,,0.04650836132443507,,0.04549702237200497,,0.027825214093085228,,0.00034316810803393784,,0.04647863957807492,,0.07174983239820991,,0.11533150747610502,,0.042064891530055624,,0.006787102581115672,,0.03305740333657951
"Būshehr, Iran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tizi Ouzou, Algeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kericho, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alajuela, Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skikda, Algeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Đà Nẵng, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bono, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ancash, Peru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Upper East, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central Singapore, Singapore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sơn La, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Androy, Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhambyl oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint-Louis, Senegal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Terengganu, Malaysia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corrientes, Argentina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trans Nzoia, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Qazvīn, Iran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bắc Ninh, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turkana, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"'Adan, Yemen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ryazanskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Limburg, Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tiaret, Algeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zabaykal'skiy kray, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Migori, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miyazaki, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loreto, Peru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vologodskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yamagata, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rhode Island, USA",0.004251108476931261,,0.00019545222958718275,,0.07220835018129713,,0.02426780721860034,,0.061857296845790194,,0.11228573826827928,,0.15686615303066903,,0.05331393126477319,,0.014947944712655137,,0.015166861371123688,,0.10568305633612632,,0.04384819557073408,,0.03949836577750582,,0.0022026265321435454,,0.06775361940865315,,0.04167555563381577,,0.11499786238091242,,0.040874261482078726,,0.005457436888379788,,0.022648376389943912,
"Constantine, Algeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sava, Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Māyū Kībbī ash Sharqī, Chad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ḩawallī, Kuwait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bono East, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Şā‘dah, Yemen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thừa Thiên-Huế, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montana, USA",0.04794537455306352,,0.014391207672779016,,0.08454146183073473,,0.024906910020298188,,0.08454715831088083,,0.08820809621734638,,0.14595331544638743,,0.03511880009342228,,0.0171786852903591,,0.015724184026689906,,0.04850932608741066,,0.04913783773006613,,0.03230853655526313,,0.00045951606502342706,,0.05796928078140517,,0.057557235384255986,,0.12276864125656564,,0.04324387960679094,,0.00934792391781128,,0.020182629153446253,
"Kurskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Guajira, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uíge, Angola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Makueni, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Araucanía, Chile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louga, Senegal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diana, Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denizli, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Negeri Sembilan, Malaysia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sfax, Tunisia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los Lagos, Chile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Republika Srpska, Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
