longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time < 15 min % [StatCan],Commute Time 15 - 29 min %,Commute Time 15 - 29 min % [StatCan],Commute Time 30 - 59 min %,Commute Time 30 - 59 min % [StatCan],Commute Time > 60 min %,Commute Time > 60 min % [StatCan],Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"Malatya, Turkey",,,,,,,,,,,,,,,,,,,,
"Mérida, Venezuela",,,,,,,,,,,,,,,,,,,,
"Sousse, Tunisia",,,,,,,,,,,,,,,,,,,,
"Qīrā, Chad",,,,,,,,,,,,,,,,,,,,
"Farāh, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Morobe, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Soltüstik Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Hukui, Japan",,,,,,,,,,,,,,,,,,,,
"Qyzylorda oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Grad Zagreb, Croatia",,,,,,,,,,,,,,,,,,,,
"Amurskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"La Libertad, El Salvador",,,,,,,,,,,,,,,,,,,,
"Hoima, Uganda",,,,,,,,,,,,,,,,,,,,
"Chachoengsao, Thailand",,,,,,,,,,,,,,,,,,,,
"Būr Sa‘īd, Egypt",,,,,,,,,,,,,,,,,,,,
"Dowa, Malawi",,,,,,,,,,,,,,,,,,,,
"North Dakota, USA",0.892106898306566,0.004044627593495051,0.032269464892957886,0.005249181800810515,0.05767476861870312,0.5152099833037633,,0.33216860225071876,,0.10885898163415955,,0.04376243281135838,,0.05113582131240177,0.9488641786875982,0.6590548071037673,0.00014644670995465417,1.0524654001999684e-05,1141.0,82.0
"Ilocos Sur, Philippines",,,,,,,,,,,,,,,,,,,,
"Lanao del Sur, Philippines",,,,,,,,,,,,,,,,,,,,
"Braga, Portugal",,,,,,,,,,,,,,,,,,,,
"Anosy, Madagascar",,,,,,,,,,,,,,,,,,,,
"Camagüey, Cuba",,,,,,,,,,,,,,,,,,,,
"Annaba, Algeria",,,,,,,,,,,,,,,,,,,,
"New Brunswick, Canada",,,,,,,0.4554401879152622,,0.36311720239261075,,0.15064343481539258,,0.030799174876734337,,,,,,,
"Central, Botswana",,,,,,,,,,,,,,,,,,,,
"Mangghystaū oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Escuintla, Guatemala",,,,,,,,,,,,,,,,,,,,
"Komi, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Erzurum, Turkey",,,,,,,,,,,,,,,,,,,,
"Jujuy, Argentina",,,,,,,,,,,,,,,,,,,,
"Pavlodar oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Machinga, Malawi",,,,,,,,,,,,,,,,,,,,
"Tirol, Austria",,,,,,,,,,,,,,,,,,,,
"Cibao Sur, Dominican Republic",,,,,,,,,,,,,,,,,,,,
"Kajiado, Kenya",,,,,,,,,,,,,,,,,,,,
"Sarangani, Philippines",,,,,,,,,,,,,,,,,,,,
"Ratchaburi, Thailand",,,,,,,,,,,,,,,,,,,,
"Hebron, State of Palestine",,,,,,,,,,,,,,,,,,,,
"Nyeri, Kenya",,,,,,,,,,,,,,,,,,,,
"Tébessa, Algeria",,,,,,,,,,,,,,,,,,,,
"Maha Sarakham, Thailand",,,,,,,,,,,,,,,,,,,,
"San Juan, Argentina",,,,,,,,,,,,,,,,,,,,
"Iaşi, Romania",,,,,,,,,,,,,,,,,,,,
"Aḑ Ḑāli‘, Yemen",,,,,,,,,,,,,,,,,,,,
"Shabwah, Yemen",,,,,,,,,,,,,,,,,,,,
"Yên Bái, Vietnam",,,,,,,,,,,,,,,,,,,,
"Chimaltenango, Guatemala",,,,,,,,,,,,,,,,,,,,
"Mukono, Uganda",,,,,,,,,,,,,,,,,,,,
"Villa Clara, Cuba",,,,,,,,,,,,,,,,,,,,
"Embu, Kenya",,,,,,,,,,,,,,,,,,,,
"Dādra and Nagar Haveli and Damān and Diu, India",,,,,,,,,,,,,,,,,,,,
"Couffo, Benin",,,,,,,,,,,,,,,,,,,,
"Liban-Nord, Lebanon",,,,,,,,,,,,,,,,,,,,
"Oti, Ghana",,,,,,,,,,,,,,,,,,,,
"Kalimantan Utara, Indonesia",,,,,,,,,,,,,,,,,,,,
"Misamis Occidental, Philippines",,,,,,,,,,,,,,,,,,,,
"Tokusima, Japan",,,,,,,,,,,,,,,,,,,,
"Orlovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Guárico, Venezuela",,,,,,,,,,,,,,,,,,,,
"Ţarţūs, Syria",,,,,,,,,,,,,,,,,,,,
"Togdheer, Somalia",,,,,,,,,,,,,,,,,,,,
"Kampong Chaam [Kâmpóng Cham], Cambodia",,,,,,,,,,,,,,,,,,,,
"Ayacucho, Peru",,,,,,,,,,,,,,,,,,,,
"Baringo, Kenya",,,,,,,,,,,,,,,,,,,,
"Zamboanga Sibugay, Philippines",,,,,,,,,,,,,,,,,,,,
"Mchinji, Malawi",,,,,,,,,,,,,,,,,,,,
"Itasy, Madagascar",,,,,,,,,,,,,,,,,,,,
"Arua, Uganda",,,,,,,,,,,,,,,,,,,,
"Jerusalem, State of Palestine",,,,,,,,,,,,,,,,,,,,
"Prahova, Romania",,,,,,,,,,,,,,,,,,,,
"Laghouat, Algeria",,,,,,,,,,,,,,,,,,,,
"Alaska, USA",0.7981707452949843,0.008481814874936903,0.0732667425284248,0.011817687123547926,0.07103959984584467,0.4446294610816291,,0.37576935090448604,,0.12922218496906607,,0.0503790030448186,,0.09155074820168478,0.9084492517983151,0.6002428668775507,9.692929629877738e-05,1.886635104263932e-05,709.0,138.0
"Río Negro, Argentina",,,,,,,,,,,,,,,,,,,,
"Southern Highlands, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Surigao del Norte, Philippines",,,,,,,,,,,,,,,,,,,,
"Najrān, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Trabzon, Turkey",,,,,,,,,,,,,,,,,,,,
"Lạng Sơn, Vietnam",,,,,,,,,,,,,,,,,,,,
"Hà Giang, Vietnam",,,,,,,,,,,,,,,,,,,,
"Namibe, Angola",,,,,,,,,,,,,,,,,,,,
"Sar-e Pul, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Mono, Benin",,,,,,,,,,,,,,,,,,,,
"Amoron'i Mania, Madagascar",,,,,,,,,,,,,,,,,,,,
"Kaffrine, Senegal",,,,,,,,,,,,,,,,,,,,
"Zonguldak, Turkey",,,,,,,,,,,,,,,,,,,,
"Nyandarua, Kenya",,,,,,,,,,,,,,,,,,,,
"Sud-Est, Haiti",,,,,,,,,,,,,,,,,,,,
"Sidi Bel Abbès, Algeria",,,,,,,,,,,,,,,,,,,,
"Kôti, Japan",,,,,,,,,,,,,,,,,,,,
"Yumbe, Uganda",,,,,,,,,,,,,,,,,,,,
"Warrap, South Sudan",,,,,,,,,,,,,,,,,,,,
"Esmeraldas, Ecuador",,,,,,,,,,,,,,,,,,,,
"Semnān, Iran",,,,,,,,,,,,,,,,,,,,
"Abyan, Yemen",,,,,,,,,,,,,,,,,,,,
"Nur-Sultan, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Djibouti, Djibouti",,,,,,,,,,,,,,,,,,,,
"Donga, Benin",,,,,,,,,,,,,,,,,,,,
"Al Jawf, Yemen",,,,,,,,,,,,,,,,,,,,
"Al Baţḩā’, Chad",,,,,,,,,,,,,,,,,,,,
"Erevan, Armenia",,,,,,,,,,,,,,,,,,,,
"Bremen, Germany",,,,,,,,,,,,,,,,,,,,
"Tuyên Quang, Vietnam",,,,,,,,,,,,,,,,,,,,
"Murmanskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Matam, Senegal",,,,,,,,,,,,,,,,,,,,
"West Pokot, Kenya",,,,,,,,,,,,,,,,,,,,
"Ntcheu, Malawi",,,,,,,,,,,,,,,,,,,,
"Bujumbura Rural, Burundi",,,,,,,,,,,,,,,,,,,,
"Matanzas, Cuba",,,,,,,,,,,,,,,,,,,,
"Plateau, Benin",,,,,,,,,,,,,,,,,,,,
"Afyonkarahisar, Turkey",,,,,,,,,,,,,,,,,,,,
"Wardak, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Bāmyān, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Sivas, Turkey",,,,,,,,,,,,,,,,,,,,
"Timiş, Romania",,,,,,,,,,,,,,,,,,,,
"District of Columbia, USA",0.3638125678111709,0.038735538684163864,0.11310571679153879,0.27114931826429806,0.19827949790059166,0.12700740390634427,,0.3389566848268929,,0.4472945013757721,,0.08674140989099062,,0.3574049916081762,0.6425950083918238,0.1908638582784149,4.0465160801877354e-05,1.8564661586524375e-05,279.0,128.0
"Cibao Nordeste, Dominican Republic",,,,,,,,,,,,,,,,,,,,
"Žilinský kraj, Slovakia",,,,,,,,,,,,,,,,,,,,
"Cluj, Romania",,,,,,,,,,,,,,,,,,,,
"El Oro, Ecuador",,,,,,,,,,,,,,,,,,,,
"Laghmān, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Hòa Bình, Vietnam",,,,,,,,,,,,,,,,,,,,
"Niamey, Niger",,,,,,,,,,,,,,,,,,,,
"Kouilou, Congo",,,,,,,,,,,,,,,,,,,,
"Aargau, Switzerland",,,,,,,,,,,,,,,,,,,,
"Kohgīlūyeh va Bowyer Aḩmad, Iran",,,,,,,,,,,,,,,,,,,,
"Banjul, The Gambia",,,,,,,,,,,,,,,,,,,,
"Trujillo, Venezuela",,,,,,,,,,,,,,,,,,,,
"Agadez, Niger",,,,,,,,,,,,,,,,,,,,
"Lào Cai, Vietnam",,,,,,,,,,,,,,,,,,,,
"Vihiga, Kenya",,,,,,,,,,,,,,,,,,,,
"Itapúa, Paraguay",,,,,,,,,,,,,,,,,,,,
"Yuma, Dominican Republic",,,,,,,,,,,,,,,,,,,,
"Plovdiv, Bulgaria",,,,,,,,,,,,,,,,,,,,
"Nyamira, Kenya",,,,,,,,,,,,,,,,,,,,
"Ziguinchor, Senegal",,,,,,,,,,,,,,,,,,,,
"Nitriansky kraj, Slovakia",,,,,,,,,,,,,,,,,,,,
"Bioko Norte, Equatorial Guinea",,,,,,,,,,,,,,,,,,,,
"Adıyaman, Turkey",,,,,,,,,,,,,,,,,,,,
"Aklan, Philippines",,,,,,,,,,,,,,,,,,,,
"Severnaya Osetiya-Alaniya, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Camarines Norte, Philippines",,,,,,,,,,,,,,,,,,,,
"Fryslân, Netherlands",,,,,,,,,,,,,,,,,,,,
"As Suways, Egypt",,,,,,,,,,,,,,,,,,,,
"Oslo, Norway",,,,,,,,,,,,,,,,,,,,
"Antique, Philippines",,,,,,,,,,,,,,,,,,,,
"Higuamo, Dominican Republic",,,,,,,,,,,,,,,,,,,,
"Ilocos Norte, Philippines",,,,,,,,,,,,,,,,,,,,
"Ordu, Turkey",,,,,,,,,,,,,,,,,,,,
"Banskobystrický kraj, Slovakia",,,,,,,,,,,,,,,,,,,,
"Bari, Somalia",,,,,,,,,,,,,,,,,,,,
"Enga, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Simane, Japan",,,,,,,,,,,,,,,,,,,,
"Tororo, Uganda",,,,,,,,,,,,,,,,,,,,
"Cibitoke, Burundi",,,,,,,,,,,,,,,,,,,,
"Neuquén, Argentina",,,,,,,,,,,,,,,,,,,,
"Davao Oriental, Philippines",,,,,,,,,,,,,,,,,,,,
"Isingiro, Uganda",,,,,,,,,,,,,,,,,,,,
"Constanţa, Romania",,,,,,,,,,,,,,,,,,,,
"Harjumaa, Estonia",,,,,,,,,,,,,,,,,,,,
"Borsod-Abaúj-Zemplén, Hungary",,,,,,,,,,,,,,,,,,,,
"Surigao del Sur, Philippines",,,,,,,,,,,,,,,,,,,,
"Mbarara, Uganda",,,,,,,,,,,,,,,,,,,,
"Al Aḩmadī, Kuwait",,,,,,,,,,,,,,,,,,,,
"Ruyigi, Burundi",,,,,,,,,,,,,,,,,,,,
"Mudug, Somalia",,,,,,,,,,,,,,,,,,,,
"Kampong Thum [Kâmpóng Thum], Cambodia",,,,,,,,,,,,,,,,,,,,
"Chubut, Argentina",,,,,,,,,,,,,,,,,,,,
"Batman, Turkey",,,,,,,,,,,,,,,,,,,,
"Prachin Buri, Thailand",,,,,,,,,,,,,,,,,,,,
"Sikkim, India",,,,,,,,,,,,,,,,,,,,
"Mariy El, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Maţrūḩ, Egypt",,,,,,,,,,,,,,,,,,,,
"Bongolava, Madagascar",,,,,,,,,,,,,,,,,,,,
"Elazığ, Turkey",,,,,,,,,,,,,,,,,,,,
"Vermont, USA",0.8100582839000977,0.008243203539326296,0.049704657886722646,0.009934353018210782,0.11436077539806515,0.3268424168661716,,0.3620308525371782,,0.2536091887672858,,0.05751754182936444,,0.0654261039584372,0.9345738960415628,0.5892022665213054,9.766035036428244e-05,1.0108157282927324e-05,628.0,65.0
"Yaracuy, Venezuela",,,,,,,,,,,,,,,,,,,,
"Aveiro, Portugal",,,,,,,,,,,,,,,,,,,,
"Iganga, Uganda",,,,,,,,,,,,,,,,,,,,
"Wasaţ Dārfūr, Sudan",,,,,,,,,,,,,,,,,,,,
"Jowzjān, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Chuquisaca, Bolivia",,,,,,,,,,,,,,,,,,,,
"Dolj, Romania",,,,,,,,,,,,,,,,,,,,
"Rīga, Latvia",,,,,,,,,,,,,,,,,,,,
"Caaguazú, Paraguay",,,,,,,,,,,,,,,,,,,,
"Madang, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Makamba, Burundi",,,,,,,,,,,,,,,,,,,,
"Kríti, Greece",,,,,,,,,,,,,,,,,,,,
"Conakry, Guinea",,,,,,,,,,,,,,,,,,,,
"Al Buḩayrah, Chad",,,,,,,,,,,,,,,,,,,,
"Casanare, Colombia",,,,,,,,,,,,,,,,,,,,
"Hela, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Unity, South Sudan",,,,,,,,,,,,,,,,,,,,
"Kunaṟ, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Quảng Trị, Vietnam",,,,,,,,,,,,,,,,,,,,
"Raymah, Yemen",,,,,,,,,,,,,,,,,,,,
"Sukhothai, Thailand",,,,,,,,,,,,,,,,,,,,
"Ağrı, Turkey",,,,,,,,,,,,,,,,,,,,
"Bratislavský kraj, Slovakia",,,,,,,,,,,,,,,,,,,,
"Kostromskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Savannah, Ghana",,,,,,,,,,,,,,,,,,,,
"Mbale, Uganda",,,,,,,,,,,,,,,,,,,,
"Bizerte, Tunisia",,,,,,,,,,,,,,,,,,,,
"Antofagasta, Chile",,,,,,,,,,,,,,,,,,,,
"Kairouan, Tunisia",,,,,,,,,,,,,,,,,,,,
"Monastir, Tunisia",,,,,,,,,,,,,,,,,,,,
"Jihočeský kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,
"Oruro, Bolivia",,,,,,,,,,,,,,,,,,,,
"Suchitepéquez, Guatemala",,,,,,,,,,,,,,,,,,,,
"Yoro, Honduras",,,,,,,,,,,,,,,,,,,,
"North East, Ghana",,,,,,,,,,,,,,,,,,,,
"Chanthaburi, Thailand",,,,,,,,,,,,,,,,,,,,
"Navarra, Comunidad Foral de, Spain",,,,,,,,,,,,,,,,,,,,
"Vestland, Norway",,,,,,,,,,,,,,,,,,,,
"Asunción, Paraguay",,,,,,,,,,,,,,,,,,,,
"Narathiwat, Thailand",,,,,,,,,,,,,,,,,,,,
"Al Mafraq, Jordan",,,,,,,,,,,,,,,,,,,,
"Tarija, Bolivia",,,,,,,,,,,,,,,,,,,,
"Mayuge, Uganda",,,,,,,,,,,,,,,,,,,,
"Kampot [Kâmpôt], Cambodia",,,,,,,,,,,,,,,,,,,,
"Nimba, Liberia",,,,,,,,,,,,,,,,,,,,
"Kāpīsā, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Western Equatoria, South Sudan",,,,,,,,,,,,,,,,,,,,
"Şırnak, Turkey",,,,,,,,,,,,,,,,,,,,
"Kütahya, Turkey",,,,,,,,,,,,,,,,,,,,
"Olomoucký kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,
"Canterbury, New Zealand",,,,,,,,,,,,,,,,,,,,
"Suceava, Romania",,,,,,,,,,,,,,,,,,,,
"Guelma, Algeria",,,,,,,,,,,,,,,,,,,,
"Gambēla Hizboch, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Gaza, State of Palestine",,,,,,,,,,,,,,,,,,,,
"Paktīkā, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Kamuli, Uganda",,,,,,,,,,,,,,,,,,,,
"Ninh Thuận, Vietnam",,,,,,,,,,,,,,,,,,,,
"Mindoro Occidental, Philippines",,,,,,,,,,,,,,,,,,,,
"Lunda-Sul, Angola",,,,,,,,,,,,,,,,,,,,
"Panamá Oest, Panama",,,,,,,,,,,,,,,,,,,,
"Quindío, Colombia",,,,,,,,,,,,,,,,,,,,
"Chimbu, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Karuzi, Burundi",,,,,,,,,,,,,,,,,,,,
"Jiwaka, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Ḩā'il, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Anatolikí Makedonía kai Thráki, Greece",,,,,,,,,,,,,,,,,,,,
"Kirinyaga, Kenya",,,,,,,,,,,,,,,,,,,,
"Pskovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Argeş, Romania",,,,,,,,,,,,,,,,,,,,
"Formosa, Argentina",,,,,,,,,,,,,,,,,,,,
"Lakes, South Sudan",,,,,,,,,,,,,,,,,,,,
"Ntungamo, Uganda",,,,,,,,,,,,,,,,,,,,
"Sīlā, Chad",,,,,,,,,,,,,,,,,,,,
"Salima, Malawi",,,,,,,,,,,,,,,,,,,,
"Dāykundī, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Trenčiansky kraj, Slovakia",,,,,,,,,,,,,,,,,,,,
"Nordjylland, Denmark",,,,,,,,,,,,,,,,,,,,
"Batys Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Sa Kaeo, Thailand",,,,,,,,,,,,,,,,,,,,
"Loei, Thailand",,,,,,,,,,,,,,,,,,,,
"Kon Tum, Vietnam",,,,,,,,,,,,,,,,,,,,
"Saint Andrew, Jamaica",,,,,,,,,,,,,,,,,,,,
"Çorum, Turkey",,,,,,,,,,,,,,,,,,,,
"Chişinău, Moldova",,,,,,,,,,,,,,,,,,,,
"Ouham-Pendé, Central African Republic",,,,,,,,,,,,,,,,,,,,
"Comayagua, Honduras",,,,,,,,,,,,,,,,,,,,
"Totonicapán, Guatemala",,,,,,,,,,,,,,,,,,,,
"Matagalpa, Nicaragua",,,,,,,,,,,,,,,,,,,,
"Çanakkale, Turkey",,,,,,,,,,,,,,,,,,,,
"Roraima, Brazil",,,,,,,,,,,,,,,,,,,,
"Olancho, Honduras",,,,,,,,,,,,,,,,,,,,
"Lōgar, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Adrar, Algeria",,,,,,,,,,,,,,,,,,,,
"Hodh ech Chargui, Mauritania",,,,,,,,,,,,,,,,,,,,
"Tungurahua, Ecuador",,,,,,,,,,,,,,,,,,,,
"Bacău, Romania",,,,,,,,,,,,,,,,,,,,
"Osmaniye, Turkey",,,,,,,,,,,,,,,,,,,,
"Hajdú-Bihar, Hungary",,,,,,,,,,,,,,,,,,,,
"Kareliya, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Wyoming, USA",0.8696355700649377,0.010145133245803977,0.03486036691387818,0.008967034526808876,0.06781874312479974,0.5552078812933542,,0.2715742030772929,,0.11515885160907184,,0.05805906402028102,,0.037992135372184266,0.9620078646278156,0.698959042371002,0.0002158269639820335,1.265491435396662e-05,1245.0,73.0
"Pinar del Río, Cuba",,,,,,,,,,,,,,,,,,,,
"Novgorodskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Plzeňský kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,
"Tottori, Japan",,,,,,,,,,,,,,,,,,,,
"Canelones, Uruguay",,,,,,,,,,,,,,,,,,,,
"Ihorombe, Madagascar",,,,,,,,,,,,,,,,,,,,
"Connaught, Ireland",,,,,,,,,,,,,,,,,,,,
"Atlántida, Honduras",,,,,,,,,,,,,,,,,,,,
"Szabolcs-Szatmár-Bereg, Hungary",,,,,,,,,,,,,,,,,,,,
"Rutana, Burundi",,,,,,,,,,,,,,,,,,,,
"Bihor, Romania",,,,,,,,,,,,,,,,,,,,
"Bulawayo, Zimbabwe",,,,,,,,,,,,,,,,,,,,
"Pattani, Thailand",,,,,,,,,,,,,,,,,,,,
"Groningen, Netherlands",,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,
"Chikwawa, Malawi",,,,,,,,,,,,,,,,,,,,
"Kärnten, Austria",,,,,,,,,,,,,,,,,,,,
"East Sepik, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Kyenjojo, Uganda",,,,,,,,,,,,,,,,,,,,
"Sédhiou, Senegal",,,,,,,,,,,,,,,,,,,,
"Luwero, Uganda",,,,,,,,,,,,,,,,,,,,
"Zlínský kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,
"Trnavský kraj, Slovakia",,,,,,,,,,,,,,,,,,,,
"Nueva Esparta, Venezuela",,,,,,,,,,,,,,,,,,,,
"Kamwenge, Uganda",,,,,,,,,,,,,,,,,,,,
"Hiiraan, Somalia",,,,,,,,,,,,,,,,,,,,
"Saint Catherine, Jamaica",,,,,,,,,,,,,,,,,,,,
"Nabatîyé, Lebanon",,,,,,,,,,,,,,,,,,,,
"Ahafo, Ghana",,,,,,,,,,,,,,,,,,,,
"Santa Ana, El Salvador",,,,,,,,,,,,,,,,,,,,
"Hậu Giang, Vietnam",,,,,,,,,,,,,,,,,,,,
"Salzburg, Austria",,,,,,,,,,,,,,,,,,,,
"Cartago, Costa Rica",,,,,,,,,,,,,,,,,,,,
"Wellington, New Zealand",,,,,,,,,,,,,,,,,,,,
"Kauno apskritis, Lithuania",,,,,,,,,,,,,,,,,,,,
"Sololá, Guatemala",,,,,,,,,,,,,,,,,,,,
"Tasmania, Australia",,,,,,,,,,,,,,,,,,,,
"Nakhon Phanom, Thailand",,,,,,,,,,,,,,,,,,,,
"Cantabria, Spain",,,,,,,,,,,,,,,,,,,,
"Khakasiya, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Pelopónnisos, Greece",,,,,,,,,,,,,,,,,,,,
"Tokat, Turkey",,,,,,,,,,,,,,,,,,,,
"Grande'Anse, Haiti",,,,,,,,,,,,,,,,,,,,
"Costa Caribe Norte, Nicaragua",,,,,,,,,,,,,,,,,,,,
"Nong Bua Lam Phu, Thailand",,,,,,,,,,,,,,,,,,,,
"Souk Ahras, Algeria",,,,,,,,,,,,,,,,,,,,
"Trang, Thailand",,,,,,,,,,,,,,,,,,,,
"Az Zāwiyah, Libya",,,,,,,,,,,,,,,,,,,,
"Jinotega, Nicaragua",,,,,,,,,,,,,,,,,,,,
"Mureş, Romania",,,,,,,,,,,,,,,,,,,,
"Las Tunas, Cuba",,,,,,,,,,,,,,,,,,,,
"Braşov, Romania",,,,,,,,,,,,,,,,,,,,
"Samangān, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Cao Bằng, Vietnam",,,,,,,,,,,,,,,,,,,,
"Laikipia, Kenya",,,,,,,,,,,,,,,,,,,,
"Jinja, Uganda",,,,,,,,,,,,,,,,,,,,
"Kānim, Chad",,,,,,,,,,,,,,,,,,,,
"Eastern Samar, Philippines",,,,,,,,,,,,,,,,,,,,
"Maseru, Lesotho",,,,,,,,,,,,,,,,,,,,
"Královéhradecký kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,
"Yamalo-Nenentskiy avtonomnyy okrug, Russia",,,,,,,,,,,,,,,,,,,,
"Uruzgān, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Santa Bárbara, Honduras",,,,,,,,,,,,,,,,,,,,
"Caquetá, Colombia",,,,,,,,,,,,,,,,,,,,
"Phatthalung, Thailand",,,,,,,,,,,,,,,,,,,,
"Tak, Thailand",,,,,,,,,,,,,,,,,,,,
"Skopje, North Macedonia",,,,,,,,,,,,,,,,,,,,
"Haut-Ogooué, Gabon",,,,,,,,,,,,,,,,,,,,
"Karachayevo-Cherkesskaya Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"San Luis, Argentina",,,,,,,,,,,,,,,,,,,,
"Buikwe, Uganda",,,,,,,,,,,,,,,,,,,,
"Atyraū oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Al Jawf, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",,,,,,,,,,,,,,,,,,,,
"Stereá Elláda, Greece",,,,,,,,,,,,,,,,,,,,
"Heredia, Costa Rica",,,,,,,,,,,,,,,,,,,,
"Balkan, Turkmenistan",,,,,,,,,,,,,,,,,,,,
"Basilicata, Italy",,,,,,,,,,,,,,,,,,,,
"Galguduud, Somalia",,,,,,,,,,,,,,,,,,,,
"Dirē Dawa, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Médenine, Tunisia",,,,,,,,,,,,,,,,,,,,
"Ramallah, State of Palestine",,,,,,,,,,,,,,,,,,,,
"Kagadi, Uganda",,,,,,,,,,,,,,,,,,,,
"Gedo, Somalia",,,,,,,,,,,,,,,,,,,,
"Guantánamo, Cuba",,,,,,,,,,,,,,,,,,,,
"Khorāsān-e Jonūbī, Iran",,,,,,,,,,,,,,,,,,,,
"Malta, Malta",,,,,,,,,,,,,,,,,,,,
"Galaţi, Romania",,,,,,,,,,,,,,,,,,,,
"Sankt Gallen, Switzerland",,,,,,,,,,,,,,,,,,,,
"Chiriquí, Panama",,,,,,,,,,,,,,,,,,,,
"Pirkanmaa, Finland",,,,,,,,,,,,,,,,,,,,
"Louangphabang, Laos",,,,,,,,,,,,,,,,,,,,
"Ysyk-Köl, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador, Canada",,,,,,,0.5258589130763776,,0.3163243148351662,,0.1060641248408629,,0.051752647247593195,,,,,,,
"Sanaag, Somalia",,,,,,,,,,,,,,,,,,,,
"Waikato, New Zealand",,,,,,,,,,,,,,,,,,,,
"Chimborazo, Ecuador",,,,,,,,,,,,,,,,,,,,
"Drenthe, Netherlands",,,,,,,,,,,,,,,,,,,,
"Izabal, Guatemala",,,,,,,,,,,,,,,,,,,,
"Elgeyo/Marakwet, Kenya",,,,,,,,,,,,,,,,,,,,
"Ouham, Central African Republic",,,,,,,,,,,,,,,,,,,,
"Jutiapa, Guatemala",,,,,,,,,,,,,,,,,,,,
"Artemisa, Cuba",,,,,,,,,,,,,,,,,,,,
"Apure, Venezuela",,,,,,,,,,,,,,,,,,,,
"Pardubický kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,
"Sonsonate, El Salvador",,,,,,,,,,,,,,,,,,,,
"Bururi, Burundi",,,,,,,,,,,,,,,,,,,,
"Khenchela, Algeria",,,,,,,,,,,,,,,,,,,,
"Jeju-teukbyeoljachido, South Korea",,,,,,,,,,,,,,,,,,,,
"Salavan, Laos",,,,,,,,,,,,,,,,,,,,
